@ HyperIMU -ianovir - 2018
@ Date:Wed Oct 30 12:35:57 GMT+05:00 2019, Sampling Rate:100ms

timestamp,LSM6DSL_Acceleration_Sensor.x,LSM6DSL_Acceleration_Sensor.y,LSM6DSL_Acceleration_Sensor.z,LSM6DSL_Gyroscope_Sensor.x,LSM6DSL_Gyroscope_Sensor.y,LSM6DSL_Gyroscope_Sensor.z,AK09916C_Magnetic_field_Sensor.x,AK09916C_Magnetic_field_Sensor.y,AK09916C_Magnetic_field_Sensor.z,GPS.lat,GPS.long,GPS.alt
1572420972529,-3.605778,2.9305923,9.696813,0.14057475,-0.076135196,-0.016545897,17.82,47.1,-3.8999999,0.0,0.0,0.0
1572420972628,-3.2274826,3.110163,8.672064,-0.007254636,0.07535939,-0.015935032,18.48,46.2,-4.7999997,0.0,0.0,0.0
1572420972729,-3.440573,3.2394538,8.545167,0.0800991,-0.07980038,-0.012880705,18.48,46.92,-3.72,0.0,0.0,0.0
1572420972830,-3.1077688,3.1149516,9.138947,-0.26015285,0.027101036,-0.011048109,18.359999,46.86,-3.84,0.0,0.0,0.0
1572420972931,-3.1436827,3.258608,8.71516,-0.068952024,0.045426995,0.019495154,18.119999,46.62,-4.14,0.0,0.0,0.0
1572420973032,-3.2466366,3.1676257,8.566715,-0.023747997,-0.03459635,-0.025708877,18.06,46.8,-4.2599998,0.0,0.0,0.0
1572420973133,-3.318465,3.1580484,8.609812,-0.034132704,0.028322767,-0.017156761,17.94,46.739998,-4.56,0.0,0.0,0.0
1572420973235,-3.3998702,3.0718546,9.287392,0.11369669,-0.09140682,-0.015324165,18.66,47.64,-4.2599998,0.0,0.0,0.0
1572420973336,-3.3424077,3.1604428,8.739103,-0.01825021,0.003277292,-0.0067720525,18.359999,47.46,-4.08,0.0,0.0,0.0
1572420973435,-3.3088877,3.1580484,8.566715,0.043447178,0.01121854,-0.003717726,18.119999,47.1,-4.14,0.0,0.0,0.0
1572420973536,-3.3687446,3.179597,8.470944,-0.013363288,-0.005274821,0.0023909267,17.58,46.62,-3.72,0.0,0.0,0.0
1572420973637,-3.3615618,3.1819913,8.645726,0.008016995,0.022214115,-6.6339964E-4,17.76,47.52,-4.5,0.0,0.0,0.0
1572420973738,-3.3855045,3.1508656,8.427847,-0.0017568484,0.025268441,0.031101594,17.699999,47.219997,-4.3199997,0.0,0.0,0.0
1572420973841,-3.2873392,3.3040993,8.518829,0.06727093,0.008164214,0.021938615,17.52,46.739998,-3.78,0.0,0.0,0.0
1572420973940,-3.2035396,3.2729738,8.621783,0.034895066,-3.8789943E-4,0.024992941,18.119999,46.739998,-4.68,0.0,0.0,0.0
1572420974042,-3.5076127,3.2011454,8.652909,0.04161458,-0.053533178,0.06347745,17.46,46.8,-4.3199997,0.0,0.0,0.0
1572420974144,-3.1772027,3.3232534,8.492493,-0.031078381,-0.10301326,0.0714187,17.58,46.26,-5.22,0.0,0.0,0.0
1572420974244,-2.8779182,3.3950818,8.449396,-0.13736893,-0.14577383,0.051260147,17.699999,45.719997,-5.04,0.0,0.0,0.0
1572420974346,-2.2985039,3.3112822,9.581888,-0.26931584,-0.17081931,-0.14971453,16.619999,47.28,-6.2999997,0.0,0.0,0.0
1572420974443,-2.8467927,2.8420043,9.273026,-0.0359653,-0.06819394,-0.053808678,16.199999,47.52,-5.7599998,0.0,0.0,0.0
1572420974544,-3.397476,2.6025767,9.019233,-0.074449815,0.10895698,-0.1008453,16.08,47.76,-6.3599997,0.0,0.0,0.0
1572420974645,-3.3735332,2.8467927,8.43503,0.080709964,-0.046202794,0.09218812,15.42,47.82,-5.4,0.0,0.0,0.0
1572420974746,-2.9138324,3.1604428,8.784595,0.108198896,-0.07002653,0.08791206,16.08,47.219997,-5.2799997,0.0,0.0,0.0
1572420974847,-2.6073654,3.3424077,8.822903,0.15462466,-0.14394124,0.14472254,16.08,46.14,-6.8999996,0.0,0.0,0.0
1572420974948,-2.126116,3.5076127,9.26345,0.098425046,-0.035818085,0.009110444,16.14,46.26,-6.7799997,0.0,0.0,0.0
1572420975048,-2.803696,3.344802,8.945011,0.02267776,0.017938059,0.042708036,16.02,45.66,-5.8799996,0.0,0.0,0.0
1572420975149,-2.760599,3.5219781,8.497281,-0.032910977,-0.05536577,-0.03609358,15.839999,45.78,-6.8999996,0.0,0.0,0.0
1572420975251,-2.7031362,3.5243726,8.921068,0.024510358,-0.052311447,0.04942755,16.26,45.96,-6.8399997,0.0,0.0,0.0
1572420975351,-2.578634,3.615355,8.882759,0.122859664,-0.12256095,0.05614707,16.56,45.059998,-6.6,0.0,0.0,0.0
1572420975452,-2.4852571,3.8811195,8.681641,0.14973773,-0.04742452,0.091577254,15.839999,44.219997,-7.44,0.0,0.0,0.0
1572420975553,-2.1620302,3.737463,7.685622,0.2102134,0.009385944,-0.058084734,15.9,44.879997,-7.9199996,0.0,0.0,0.0
1572420975654,-2.52596,3.849994,7.903501,-0.13370374,0.11934169,0.027436402,15.54,43.92,-7.3199997,0.0,0.0,0.0
1572420975755,-2.8803127,3.8380225,8.966559,-0.10132788,0.639188,-0.19430768,17.039999,45.0,-5.8799996,0.0,0.0,0.0
1572420975857,-3.205934,3.0814316,8.528407,-0.2222792,0.23540609,-0.21568798,17.88,46.26,-4.2599998,0.0,0.0,0.0
