Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (G),Accelerometer Y (G),Accelerometer Z (G),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
249,-0.09,0.35,0.11,-0.13,0.03,1.02,,,
250,-0.38,1.65,-0.06,-0.14,0.04,1.02,,,
251,-0.15,1.16,-0.25,-0.14,0.04,1.02,,,
252,0.02,0.25,-0.09,-0.14,0.03,1.02,,,
253,0.25,0.06,0.01,-0.14,0.04,1.02,,,
254,-0.04,-0.06,0.2,-0.14,0.04,1.02,,,
255,0,-0.18,-0.22,-0.14,0.04,1.02,,,
256,0.2,0.39,-0.08,-0.14,0.03,1.02,,,
257,0.12,-0.07,-0.14,-0.13,0.03,1.03,,,
258,0.12,-0.31,-0.03,-0.14,0.03,1.03,,,
259,0.06,-0.55,-0.06,-0.13,0.03,1.02,,,
260,0.01,-0.76,0.09,-0.14,0.03,1.02,,,
261,-0.18,-0.54,0.29,-0.14,0.03,1.02,,,
262,0.01,0.28,0.05,-0.13,0.04,1.02,,,
263,-0.23,1.02,-0.1,-0.13,0.03,1.02,,,
264,-0.09,0.72,0.07,-0.14,0.03,1.02,,,
265,0.05,0.38,0.07,-0.14,0.03,1.02,,,
266,-0.33,0.95,-0.09,-0.13,0.04,1.01,,,
267,-0.38,0.83,-0.06,-0.13,0.03,1.02,,,
268,-0.26,0.88,-0.12,-0.14,0.03,1.02,,,
269,0.33,0.66,0.11,-0.14,0.03,1.02,,,
270,-0.07,0.14,0.04,-0.13,0.04,1.02,,,
271,0.07,-0.12,0.1,-0.14,0.03,1.03,,,
272,0.22,-0.64,0.18,-0.14,0.04,1.03,,,
273,0.24,-0.96,-0.05,-0.14,0.03,1.02,,,
274,-0.05,-0.95,-0.12,-0.14,0.03,1.02,,,
275,0.27,-0.62,-0.06,-0.13,0.04,1.02,,,
276,-0.23,0.09,-0.09,-0.14,0.03,1.02,,,
277,-0.13,0,-0.01,-0.14,0.04,1.02,,,
278,0.04,0.03,-0.09,-0.14,0.03,1.02,,,
279,-0.05,0.55,0,-0.13,0.03,1.02,,,
280,-0.25,0.45,-0.11,-0.13,0.04,1.02,,,
281,-0.07,0.67,-0.03,-0.13,0.03,1.02,,,
282,0.29,0.9,-0.13,-0.14,0.04,1.02,,,
283,-0.08,0.77,-0.41,-0.14,0.04,1.01,,,
284,0.1,0.26,0.03,-0.14,0.03,1.02,,,
285,0.1,-0.08,0.04,-0.14,0.03,1.02,,,
286,-0.21,-0.06,-0.03,-0.13,0.03,1.02,,,
287,0.11,-0.08,0.1,-0.14,0.03,1.02,,,
288,-0.31,-0.2,0.22,-0.14,0.03,1.02,,,
289,0,-0.16,0.04,-0.14,0.04,1.01,,,
290,0.14,-0.35,-0.12,-0.14,0.04,1.02,,,
291,0.14,0.1,0.1,-0.13,0.04,1.02,,,
292,0.18,0.29,-0.09,-0.13,0.04,1.02,,,
293,-0.06,0.51,0.07,-0.14,0.03,1.01,,,
294,0.01,0.29,0.1,-0.14,0.03,1.02,,,
295,0.01,0.22,-0.17,-0.14,0.04,1.02,,,
296,0.04,0.08,0.01,-0.13,0.03,1.02,,,
297,-0.11,0.01,0.14,-0.14,0.03,1.02,,,
298,0.15,-0.05,0.23,-0.13,0.03,1.02,,,
299,-0.11,-0.24,0.19,-0.14,0.03,1.02,,,
300,0,-0.11,0.2,-0.14,0.03,1.01,,,
301,0.09,-0.39,0.34,-0.14,0.03,1.02,,,
302,0.32,-0.3,0.22,-0.13,0.03,1.02,,,
303,-0.04,-0.6,0.23,-0.13,0.03,1.02,,,
304,-0.05,-0.4,0.04,-0.13,0.03,1.02,,,
305,0.19,-0.62,0.25,-0.13,0.03,1.02,,,
306,-0.04,0.56,-0.05,-0.13,0.04,1.02,,,
307,-0.38,0.6,-0.08,-0.13,0.03,1.02,,,
308,-0.16,0.54,0.05,-0.13,0.04,1.02,,,
309,-0.33,0.15,0.35,-0.14,0.03,1.02,,,
310,0.07,-0.53,0.36,-0.14,0.04,1.02,,,
311,-0.06,-0.44,0.36,-0.14,0.03,1.02,,,
312,-0.04,-0.07,0.13,-0.13,0.03,1.02,,,
313,-0.02,0.19,0.13,-0.13,0.03,1.02,,,
314,-0.06,0.44,0.23,-0.13,0.03,1.02,,,
315,-0.02,-0.07,0.04,-0.14,0.03,1.02,,,
316,0.17,-0.29,-0.01,-0.14,0.04,1.02,,,
317,0.3,-0.08,0.27,-0.13,0.03,1.02,,,
318,0.24,0.11,-0.12,-0.13,0.03,1.02,,,
319,-0.16,0.33,-0.15,-0.13,0.04,1.03,,,
320,-0.09,0.51,-0.27,-0.14,0.03,1.02,,,
321,-0.11,0.61,-0.11,-0.13,0.03,1.02,,,
322,-0.02,0.21,0.21,-0.14,0.03,1.02,,,
323,0.26,-0.23,0.09,-0.14,0.03,1.02,,,
324,0.01,-0.29,0.19,-0.13,0.04,1.02,,,
325,0.12,-0.37,0.19,-0.13,0.04,1.03,,,
326,0.27,-0.51,0.49,-0.14,0.03,1.02,,,
327,-0.06,-0.5,0.03,-0.14,0.04,1.02,,,
328,0.28,-0.18,0.06,-0.14,0.03,1.02,,,
329,0.11,-0.58,0.03,-0.13,0.04,1.02,,,
330,0.27,-0.94,0.05,-0.13,0.03,1.02,,,
331,0.17,-0.28,0.07,-0.14,0.04,1.02,,,
332,0.01,0.34,0.09,-0.13,0.03,1.02,,,
333,-0.25,0.78,-0.35,-0.13,0.03,1.02,,,
334,-0.12,2.02,0.17,-0.13,0.03,1.01,,,
335,-0.09,3.71,-0.2,-0.13,0.03,1.02,,,
336,-0.3,3.64,-0.23,-0.14,0.03,1.03,,,
337,-0.49,2.67,-0.08,-0.15,0.03,1.02,,,
338,-0.1,2.55,-0.19,-0.15,0.03,1.02,,,
339,-0.14,1.03,0.06,-0.14,0.03,1.03,,,
340,0.2,0.34,-0.18,-0.14,0.04,1.02,,,
341,-0.21,0.79,-0.09,-0.13,0.03,1.02,,,
342,0.17,1.05,-0.47,-0.13,0.03,1.02,,,
343,0.03,0.48,-0.05,-0.14,0.03,1.02,,,
344,0.36,-0.19,-0.44,-0.14,0.03,1.02,,,
345,0.45,-1.13,0.14,-0.14,0.03,1.02,,,
346,0.27,-1.87,-0.08,-0.14,0.03,1.02,,,
347,0.66,-2.13,-0.15,-0.14,0.03,1.02,,,
348,0.19,-1.47,0.05,-0.14,0.03,1.02,,,
349,0.23,-0.69,-0.18,-0.14,0.04,1.01,,,
350,0.05,-0.2,-0.26,-0.14,0.04,1.02,,,
351,0.46,0.2,0.05,-0.14,0.04,1.02,,,
352,-0.25,0.42,-0.03,-0.14,0.04,1.02,,,
353,-0.31,0.4,-0.04,-0.14,0.03,1.02,,,
354,-0.28,0.11,0.22,-0.14,0.04,1.02,,,
355,-0.22,0.32,0.15,-0.13,0.03,1.02,,,
356,0,0.66,0.07,-0.13,0.03,1.02,,,
357,0.12,0.25,-0.17,-0.14,0.03,1.02,,,
358,-0.01,0.18,-0.04,-0.14,0.03,1.02,,,
359,0.3,0.19,-0.18,-0.13,0.03,1.02,,,
360,-0.04,-0.06,-0.06,-0.14,0.04,1.02,,,
361,0.03,-0.18,0.17,-0.14,0.04,1.01,,,
362,0.12,0.12,0.34,-0.13,0.03,1.02,,,
363,-0.23,0.21,0.17,-0.14,0.04,1.02,,,
364,-0.28,0.25,0.2,-0.14,0.03,1.02,,,
365,-0.25,0.54,0.16,-0.14,0.03,1.02,,,
366,-0.2,0.93,0.07,-0.14,0.04,1.02,,,
367,-0.06,0.61,0.11,-0.14,0.03,1.02,,,
368,0.07,0.72,-0.03,-0.14,0.03,1.02,,,
369,-0.15,0.58,-0.26,-0.14,0.03,1.02,,,
370,0.06,0.82,-0.12,-0.14,0.03,1.03,,,
371,-0.09,0.54,0,-0.14,0.03,1.02,,,
372,0.17,0.12,0.1,-0.14,0.03,1.02,,,
373,-0.22,-0.21,0.07,-0.14,0.04,1.02,,,
374,0.25,-1.14,0,-0.14,0.03,1.02,,,
375,0.3,-1.71,-0.06,-0.14,0.04,1.02,,,
376,0.43,-1.19,-0.25,-0.14,0.03,1.01,,,
377,0.24,-1.16,-0.1,-0.13,0.03,1.02,,,
378,0.25,-1.42,-0.08,-0.14,0.04,1.03,,,
379,-0.03,-2.2,-0.31,-0.14,0.04,1.02,,,
380,0.16,-1.51,0.2,-0.13,0.04,1.02,,,
